period,location_a,location_b,co_mentions
post_election_upto_forming_government,Barishal,Madaripur,1
post_election_upto_forming_government,Barishal,Mymensingh,1
post_election_upto_forming_government,Barishal,Narsingdi,1
post_election_upto_forming_government,Barishal,Rajshahi,1
post_election_upto_forming_government,Barishal,Sylhet,1
post_election_upto_forming_government,Barishal,কুষ্টিয়া,1
post_election_upto_forming_government,Barishal,চাঁপাইনবাবগঞ্জ,1
post_election_upto_forming_government,Barishal,ঝালকাঠি,1
post_election_upto_forming_government,Barishal,নরসিংদী,1
post_election_upto_forming_government,Barishal,ব্রাহ্মণবাড়িয়া,1
post_election_upto_forming_government,Bhola,Cox's Bazar,1
post_election_upto_forming_government,Bhola,Gazipur,1
post_election_upto_forming_government,Bogura,Dinajpur,1
post_election_upto_forming_government,Bogura,Kushtia,1
post_election_upto_forming_government,Bogura,Natore,1
post_election_upto_forming_government,Bogura,Patuakhali,1
post_election_upto_forming_government,Bogura,Sirajganj,1
post_election_upto_forming_government,Bogura,Sylhet,1
post_election_upto_forming_government,Bogura,দিনাজপুর,1
post_election_upto_forming_government,Bogura,নাটোর,1
post_election_upto_forming_government,Bogura,ভোলা,1
post_election_upto_forming_government,Brahmanbaria,Chandpur,1
post_election_upto_forming_government,Brahmanbaria,Khulna,1
post_election_upto_forming_government,Brahmanbaria,Lakshmipur,1
post_election_upto_forming_government,Brahmanbaria,Narsingdi,1
post_election_upto_forming_government,Brahmanbaria,Satkhira,1
post_election_upto_forming_government,Chandpur,Naogaon,1
post_election_upto_forming_government,Chandpur,Narayanganj,1
post_election_upto_forming_government,Chandpur,Shariatpur,1
post_election_upto_forming_government,Chandpur,Sylhet,1
post_election_upto_forming_government,Chandpur,চাঁদপুর,1
post_election_upto_forming_government,Chandpur,পাবনা,1
post_election_upto_forming_government,Chandpur,ব্রাহ্মণবাড়িয়া,1
post_election_upto_forming_government,Chapainawabganj,Rajshahi,1
post_election_upto_forming_government,Chapainawabganj,Sylhet,1
post_election_upto_forming_government,Chattogram,Gopalganj,1
post_election_upto_forming_government,Chattogram,Kishoreganj,1
post_election_upto_forming_government,Chattogram,Kushtia,1
post_election_upto_forming_government,Chattogram,Madaripur,1
post_election_upto_forming_government,Chattogram,Manikganj,1
post_election_upto_forming_government,Chattogram,Munshiganj,1
post_election_upto_forming_government,Chattogram,Narsingdi,1
post_election_upto_forming_government,Chattogram,Natore,1
post_election_upto_forming_government,Chattogram,Satkhira,1
post_election_upto_forming_government,Chattogram,Sirajganj,1
post_election_upto_forming_government,Chattogram,জামালপুর,1
post_election_upto_forming_government,Chattogram,নাটোর,1
post_election_upto_forming_government,Chattogram,বান্দরবান,1
post_election_upto_forming_government,Chattogram,ভোলা,1
post_election_upto_forming_government,Chattogram,রাঙ্গামাটি,1
post_election_upto_forming_government,Chattogram,লক্ষ্মীপুর,1
post_election_upto_forming_government,Chattogram,হবিগঞ্জ,1
post_election_upto_forming_government,Chuadanga,Khulna,1
post_election_upto_forming_government,Chuadanga,Kushtia,1
post_election_upto_forming_government,Chuadanga,Thakurgaon,1
post_election_upto_forming_government,Cox's Bazar,Cumilla,1
post_election_upto_forming_government,Cox's Bazar,Gazipur,1
post_election_upto_forming_government,Cox's Bazar,Moulvibazar,1
post_election_upto_forming_government,Cox's Bazar,Mymensingh,1
post_election_upto_forming_government,Cox's Bazar,Sirajganj,1
post_election_upto_forming_government,Cox's Bazar,নারায়ণগঞ্জ,1
post_election_upto_forming_government,Cox's Bazar,নীলফামারী,1
post_election_upto_forming_government,Cumilla,Dinajpur,1
post_election_upto_forming_government,Cumilla,Kishoreganj,1
post_election_upto_forming_government,Cumilla,Kushtia,1
post_election_upto_forming_government,Cumilla,Noakhali,1
