location,location_mentions_post_election_upto_forming_government,unique_comments_post_election_upto_forming_government,comment_share_post_election_upto_forming_government,location_mentions_post_forming_government,unique_comments_post_forming_government,comment_share_post_forming_government,mention_delta,comment_share_delta,growth_rate
মানিকগঞ্জ,2.0,2.0,0.0006153846153846154,1.0,1.0,0.0006042296072507553,-1.0,-1.115500813386012e-05,-0.5
MunশIganj,1.0,1.0,0.0003076923076923077,0.0,0.0,0.0,-1.0,-0.0003076923076923077,-1.0
ঝালকাঠি,3.0,3.0,0.0009230769230769231,1.0,1.0,0.0006042296072507553,-2.0,-0.00031884731582616777,-0.6666666666666666
জয়পুরহাট,2.0,2.0,0.0006153846153846154,0.0,0.0,0.0,-2.0,-0.0006153846153846154,-1.0
নেত্রকোনা,2.0,2.0,0.0006153846153846154,0.0,0.0,0.0,-2.0,-0.0006153846153846154,-1.0
Rangamati,8.0,8.0,0.0024615384615384616,6.0,6.0,0.0036253776435045317,-2.0,0.00116383918196607,-0.25
হবিগঞ্জ,3.0,3.0,0.0009230769230769231,1.0,1.0,0.0006042296072507553,-2.0,-0.00031884731582616777,-0.6666666666666666
মেহেরপুর,2.0,2.0,0.0006153846153846154,0.0,0.0,0.0,-2.0,-0.0006153846153846154,-1.0
সাতক্ষীরা,5.0,5.0,0.0015384615384615385,3.0,3.0,0.0018126888217522659,-2.0,0.0002742272832907274,-0.4
ভোলা,7.0,7.0,0.0021538461538461538,5.0,5.0,0.0030211480362537764,-2.0,0.0008673018824076227,-0.2857142857142857
