period,location,location_mentions,unique_comments,comment_share
post_forming_government,Rajbari,1,1,0.0006042296072507553
post_forming_government,কুড়িগ্রাম,1,1,0.0006042296072507553
post_forming_government,গোপালগঞ্জ,1,1,0.0006042296072507553
post_forming_government,চুয়াডাঙ্গা,1,1,0.0006042296072507553
post_forming_government,ঝালকাঠি,1,1,0.0006042296072507553
post_forming_government,টাঙ্গাইল,1,1,0.0006042296072507553
post_forming_government,নারায়ণগঞ্জ,1,1,0.0006042296072507553
post_forming_government,নীলফামারী,1,1,0.0006042296072507553
post_forming_government,পটুয়াখালী,1,1,0.0006042296072507553
post_forming_government,বাগেরহাট,1,1,0.0006042296072507553
post_forming_government,ব্রাহ্মণবাড়িয়া,1,1,0.0006042296072507553
post_forming_government,মাগুরা,1,1,0.0006042296072507553
post_forming_government,মানিকগঞ্জ,1,1,0.0006042296072507553
post_forming_government,মৌলভীবাজার,1,1,0.0006042296072507553
post_forming_government,রাঙ্গামাটি,1,1,0.0006042296072507553
post_forming_government,রাজবাড়ী,1,1,0.0006042296072507553
post_forming_government,লক্ষ্মীপুর,1,1,0.0006042296072507553
post_forming_government,লালমনিরহাট,1,1,0.0006042296072507553
post_forming_government,শরীয়তপুর,1,1,0.0006042296072507553
post_forming_government,হবিগঞ্জ,1,1,0.0006042296072507553
