period,location,sentiment,comments,avg_confidence,share
post_election_upto_forming_government,Narayanganj,negative,10,0.5084072598900918,0.18518518518518517
post_election_upto_forming_government,Narayanganj,neutral,8,0.520804120631815,0.14814814814814814
post_election_upto_forming_government,Narayanganj,positive,13,0.4698861441355507,0.24074074074074073
post_election_upto_forming_government,Narayanganj,sarcastic_negative,23,0.4235751766802693,0.42592592592592593
post_election_upto_forming_government,Narsingdi,negative,7,0.47581935844818324,0.2
post_election_upto_forming_government,Narsingdi,neutral,2,0.4129295105237868,0.05714285714285714
post_election_upto_forming_government,Narsingdi,positive,4,0.5290711371245997,0.11428571428571428
post_election_upto_forming_government,Narsingdi,sarcastic_negative,22,0.41156682683967766,0.6285714285714286
post_election_upto_forming_government,Natore,negative,6,0.4913684150016862,0.35294117647058826
post_election_upto_forming_government,Natore,neutral,2,0.4970952962457994,0.11764705882352941
post_election_upto_forming_government,Natore,positive,4,0.48358786356603156,0.23529411764705882
post_election_upto_forming_government,Natore,sarcastic_negative,5,0.43387959576987994,0.29411764705882354
post_election_upto_forming_government,Netrokona,negative,4,0.4715300747781985,0.4
post_election_upto_forming_government,Netrokona,sarcastic_negative,6,0.4459774715653258,0.6
post_election_upto_forming_government,Nilphamari,negative,5,0.4174217894480667,0.5
post_election_upto_forming_government,Nilphamari,positive,2,0.6041795061492505,0.2
post_election_upto_forming_government,Nilphamari,sarcastic_negative,3,0.3997240862288695,0.3
post_election_upto_forming_government,Noakhali,negative,25,0.422124788955592,0.33783783783783783
post_election_upto_forming_government,Noakhali,neutral,6,0.44983917953889146,0.08108108108108109
post_election_upto_forming_government,Noakhali,positive,16,0.5235904796886552,0.21621621621621623
post_election_upto_forming_government,Noakhali,sarcastic_negative,27,0.4668303361677751,0.36486486486486486
post_election_upto_forming_government,Pabna,negative,19,0.49085762403078165,0.3584905660377358
post_election_upto_forming_government,Pabna,neutral,5,0.5966275597610058,0.09433962264150944
post_election_upto_forming_government,Pabna,positive,9,0.5167996943164173,0.16981132075471697
post_election_upto_forming_government,Pabna,sarcastic_negative,20,0.47228893235509356,0.37735849056603776
post_election_upto_forming_government,Panchagarh,negative,13,0.45727074035126797,0.52
post_election_upto_forming_government,Panchagarh,neutral,1,0.4207451701145182,0.04
post_election_upto_forming_government,Panchagarh,positive,2,0.43810324102794335,0.08
post_election_upto_forming_government,Panchagarh,sarcastic_negative,9,0.4181846579573313,0.36
post_election_upto_forming_government,Patuakhali,negative,4,0.42555218335827005,0.19047619047619047
post_election_upto_forming_government,Patuakhali,neutral,3,0.34641520918154156,0.14285714285714285
post_election_upto_forming_government,Patuakhali,positive,2,0.6275169851586377,0.09523809523809523
post_election_upto_forming_government,Patuakhali,sarcastic_negative,12,0.42732626449733946,0.5714285714285714
post_election_upto_forming_government,Pirojpur,negative,1,0.5485726746296288,0.1111111111111111
post_election_upto_forming_government,Pirojpur,neutral,1,0.672070280477617,0.1111111111111111
post_election_upto_forming_government,Pirojpur,positive,2,0.5152888580837507,0.2222222222222222
post_election_upto_forming_government,Pirojpur,sarcastic_negative,5,0.4425892296230446,0.5555555555555556
post_election_upto_forming_government,Rajbari,negative,4,0.6073376739419399,0.4
post_election_upto_forming_government,Rajbari,positive,4,0.5479617621328638,0.4
post_election_upto_forming_government,Rajbari,sarcastic_negative,2,0.37469154847625163,0.2
post_election_upto_forming_government,Rajshahi,negative,26,0.4432092462355439,0.29545454545454547
post_election_upto_forming_government,Rajshahi,neutral,7,0.5318284168996388,0.07954545454545454
post_election_upto_forming_government,Rajshahi,positive,24,0.5182977237107438,0.2727272727272727
post_election_upto_forming_government,Rajshahi,sarcastic_negative,31,0.44746053911421074,0.3522727272727273
post_election_upto_forming_government,Rangamati,negative,1,0.8533664703310616,0.125
post_election_upto_forming_government,Rangamati,neutral,1,0.6589820065265012,0.125
post_election_upto_forming_government,Rangamati,positive,1,0.6938070689355245,0.125
post_election_upto_forming_government,Rangamati,sarcastic_negative,5,0.41053216355587363,0.625
post_election_upto_forming_government,Rangpur,negative,36,0.5027691238545979,0.3157894736842105
post_election_upto_forming_government,Rangpur,neutral,15,0.6142594610409194,0.13157894736842105
post_election_upto_forming_government,Rangpur,positive,16,0.5317950903809544,0.14035087719298245
post_election_upto_forming_government,Rangpur,sarcastic_negative,47,0.45504668265405784,0.41228070175438597
post_election_upto_forming_government,Satkhira,negative,6,0.4732747196636555,0.2608695652173913
post_election_upto_forming_government,Satkhira,neutral,2,0.9916798897218642,0.08695652173913043
post_election_upto_forming_government,Satkhira,positive,3,0.6025634180885667,0.13043478260869565
post_election_upto_forming_government,Satkhira,sarcastic_negative,12,0.45188808667446884,0.5217391304347826
post_election_upto_forming_government,Shariatpur,negative,1,0.40076822134448353,0.1111111111111111
post_election_upto_forming_government,Shariatpur,neutral,1,0.513626339287941,0.1111111111111111
post_election_upto_forming_government,Shariatpur,positive,3,0.49362538205933926,0.3333333333333333
post_election_upto_forming_government,Shariatpur,sarcastic_negative,4,0.38498039156704783,0.4444444444444444
post_election_upto_forming_government,Sherpur,negative,8,0.4888436978261867,0.34782608695652173
post_election_upto_forming_government,Sherpur,neutral,2,0.487433474352963,0.08695652173913043
post_election_upto_forming_government,Sherpur,positive,5,0.39717898819759506,0.21739130434782608
post_election_upto_forming_government,Sherpur,sarcastic_negative,8,0.5064477533859,0.34782608695652173
post_election_upto_forming_government,Sirajganj,negative,13,0.44099846013213495,0.3611111111111111
post_election_upto_forming_government,Sirajganj,neutral,2,0.47152357595805333,0.05555555555555555
post_election_upto_forming_government,Sirajganj,positive,8,0.6301673094132088,0.2222222222222222
post_election_upto_forming_government,Sirajganj,sarcastic_negative,13,0.4006572831293489,0.3611111111111111
post_election_upto_forming_government,Sunamganj,negative,9,0.4627868688655863,0.45
post_election_upto_forming_government,Sunamganj,neutral,1,0.7837950267475716,0.05
post_election_upto_forming_government,Sunamganj,positive,2,0.5350706021246655,0.1
post_election_upto_forming_government,Sunamganj,sarcastic_negative,8,0.4168284232679038,0.4
post_election_upto_forming_government,Sylhet,negative,55,0.5041619811647786,0.3216374269005848
post_election_upto_forming_government,Sylhet,neutral,15,0.5134960678506044,0.08771929824561403
post_election_upto_forming_government,Sylhet,positive,22,0.48919567320996477,0.1286549707602339
post_election_upto_forming_government,Sylhet,sarcastic_negative,79,0.43740335455643875,0.4619883040935672
post_election_upto_forming_government,Tangail,negative,19,0.4770265039064105,0.3392857142857143
post_election_upto_forming_government,Tangail,neutral,2,0.36050891201957447,0.03571428571428571
post_election_upto_forming_government,Tangail,positive,7,0.5035256720436757,0.125
post_election_upto_forming_government,Tangail,sarcastic_negative,28,0.41036976107665646,0.5
post_election_upto_forming_government,Thakurgaon,negative,5,0.4644094092789996,0.35714285714285715
post_election_upto_forming_government,Thakurgaon,neutral,4,0.44297551075246927,0.2857142857142857
post_election_upto_forming_government,Thakurgaon,positive,2,0.398036766162452,0.14285714285714285
post_election_upto_forming_government,Thakurgaon,sarcastic_negative,3,0.4254969787656259,0.21428571428571427
post_election_upto_forming_government,কিশোরগঞ্জ,negative,3,0.5811810745345934,0.25
post_election_upto_forming_government,কিশোরগঞ্জ,neutral,2,0.7911811394568438,0.16666666666666666
post_election_upto_forming_government,কিশোরগঞ্জ,positive,3,0.42334271068877743,0.25
post_election_upto_forming_government,কিশোরগঞ্জ,sarcastic_negative,4,0.4289829199572367,0.3333333333333333
post_election_upto_forming_government,কুড়িগ্রাম,negative,1,0.3950115082798721,0.25
post_election_upto_forming_government,কুড়িগ্রাম,positive,1,0.5464384493476946,0.25
post_election_upto_forming_government,কুড়িগ্রাম,sarcastic_negative,2,0.46297986747352576,0.5
post_election_upto_forming_government,কুষ্টিয়া,negative,1,0.5189477319719475,0.2
post_election_upto_forming_government,কুষ্টিয়া,positive,1,0.6938070689355245,0.2
post_election_upto_forming_government,কুষ্টিয়া,sarcastic_negative,3,0.4462508166589049,0.6
post_election_upto_forming_government,খাও হালুয়া,negative,1,0.4386622040192879,1.0
post_election_upto_forming_government,গাইবান্ধা,negative,1,0.36606522940388575,0.3333333333333333
post_election_upto_forming_government,গাইবান্ধা,sarcastic_negative,2,0.3982895242373343,0.6666666666666666
post_election_upto_forming_government,গোপালগঞ্জ,negative,3,0.7393387351112887,0.6
post_election_upto_forming_government,গোপালগঞ্জ,positive,1,0.27120355956670117,0.2
post_election_upto_forming_government,গোপালগঞ্জ,sarcastic_negative,1,0.3671423319283492,0.2
post_election_upto_forming_government,চাঁদপুর,negative,2,0.4923004990540104,0.2857142857142857
post_election_upto_forming_government,চাঁদপুর,neutral,1,0.518291621050263,0.14285714285714285
post_election_upto_forming_government,চাঁদপুর,sarcastic_negative,4,0.4478912196494245,0.5714285714285714
post_election_upto_forming_government,চাঁপাইনবাবগঞ্জ,positive,3,0.5385064664727336,1.0
post_election_upto_forming_government,জয়পুরহাট,sarcastic_negative,2,0.3460469349030188,1.0
post_election_upto_forming_government,জামালপুর,negative,2,0.5153251888027732,0.3333333333333333
post_election_upto_forming_government,জামালপুর,positive,1,0.5095730638435402,0.16666666666666666
post_election_upto_forming_government,জামালপুর,sarcastic_negative,3,0.39797585938309643,0.5
post_election_upto_forming_government,ঝালকাঠি,negative,3,0.5100619905251059,1.0
post_election_upto_forming_government,ঝিনাইদহ,sarcastic_negative,3,0.43225515431923617,1.0
post_election_upto_forming_government,টাঙ্গাইল,negative,1,0.3320633773470929,1.0
post_election_upto_forming_government,ঠাকুরগাঁও,negative,1,0.45752350131071695,0.3333333333333333
post_election_upto_forming_government,ঠাকুরগাঁও,sarcastic_negative,2,0.4088040097853816,0.6666666666666666
post_election_upto_forming_government,দিনাজপুর,negative,1,0.4153624765914921,0.14285714285714285
post_election_upto_forming_government,দিনাজপুর,positive,1,0.4245513807349363,0.14285714285714285
post_election_upto_forming_government,দিনাজপুর,sarcastic_negative,5,0.46556358874961745,0.7142857142857143
post_election_upto_forming_government,নওগাঁ,negative,2,0.35427184977550563,0.25
post_election_upto_forming_government,নওগাঁ,neutral,1,0.40392181871763316,0.125
post_election_upto_forming_government,নওগাঁ,positive,2,0.4893101819631325,0.25
post_election_upto_forming_government,নওগাঁ,sarcastic_negative,3,0.4291092794829117,0.375
post_election_upto_forming_government,নরসিংদী,negative,3,0.44891741524025974,0.17647058823529413
post_election_upto_forming_government,নরসিংদী,neutral,3,0.5766388320583455,0.17647058823529413
post_election_upto_forming_government,নরসিংদী,sarcastic_negative,11,0.4543961548514069,0.6470588235294118
post_election_upto_forming_government,নাটোর,negative,2,0.41133468622151903,0.5
post_election_upto_forming_government,নাটোর,neutral,1,0.5316318273980246,0.25
post_election_upto_forming_government,নাটোর,sarcastic_negative,1,0.4215221353066988,0.25
post_election_upto_forming_government,নারায়ণগঞ্জ,positive,1,0.4243135487567875,1.0
post_election_upto_forming_government,নীলফামারী,negative,2,0.34856031791480924,0.4
post_election_upto_forming_government,নীলফামারী,positive,1,0.3223531830115512,0.2
post_election_upto_forming_government,নীলফামারী,sarcastic_negative,2,0.4858995275288056,0.4
post_election_upto_forming_government,নেত্রকোনা,negative,2,0.47114516657968913,1.0
post_election_upto_forming_government,নোয়াখালী,negative,3,0.5104551653335806,0.3333333333333333
post_election_upto_forming_government,নোয়াখালী,positive,1,0.32505493924806694,0.1111111111111111
post_election_upto_forming_government,নোয়াখালী,sarcastic_negative,5,0.45242475958866163,0.5555555555555556
post_election_upto_forming_government,পঞ্চগড়,negative,1,0.4345889210018511,0.3333333333333333
post_election_upto_forming_government,পঞ্চগড়,positive,2,0.5039581868379593,0.6666666666666666
post_election_upto_forming_government,পটুয়াখালী,sarcastic_negative,1,0.6054838209038425,1.0
post_election_upto_forming_government,পাবনা,negative,2,0.37881175318478366,0.2222222222222222
post_election_upto_forming_government,পাবনা,positive,4,0.3992892655053997,0.4444444444444444
post_election_upto_forming_government,পাবনা,sarcastic_negative,3,0.515833348326792,0.3333333333333333
post_election_upto_forming_government,পিরোজপুর,negative,2,0.47182450257371367,0.6666666666666666
post_election_upto_forming_government,পিরোজপুর,positive,1,0.27120355956670117,0.3333333333333333
post_election_upto_forming_government,ফরিদপুর,negative,4,0.4994512803383001,0.6666666666666666
post_election_upto_forming_government,ফরিদপুর,positive,2,0.48056319288753646,0.3333333333333333
post_election_upto_forming_government,বগুড়া,negative,3,0.5284516032172885,0.2727272727272727
post_election_upto_forming_government,বগুড়া,neutral,2,0.7369781266097174,0.18181818181818182
post_election_upto_forming_government,বগুড়া,positive,1,0.8357483706415421,0.09090909090909091
post_election_upto_forming_government,বগুড়া,sarcastic_negative,5,0.4948012288396887,0.45454545454545453
post_election_upto_forming_government,বরগুনা,negative,1,0.6307025345729101,0.25
post_election_upto_forming_government,বরগুনা,neutral,1,0.41796260732695006,0.25
post_election_upto_forming_government,বরগুনা,positive,1,0.3060140549391087,0.25
post_election_upto_forming_government,বরগুনা,sarcastic_negative,1,0.42117788056115757,0.25
post_election_upto_forming_government,বাগেরহাট,neutral,2,0.5391387202322333,0.5
post_election_upto_forming_government,বাগেরহাট,positive,1,0.4201704269410192,0.25
post_election_upto_forming_government,বাগেরহাট,sarcastic_negative,1,0.3333112484537334,0.25
post_election_upto_forming_government,বান্দরবান,negative,1,0.5040057974060189,0.3333333333333333
post_election_upto_forming_government,বান্দরবান,positive,1,0.40532518249712407,0.3333333333333333
post_election_upto_forming_government,বান্দরবান,sarcastic_negative,1,0.5670698299162058,0.3333333333333333
post_election_upto_forming_government,ব্রাহ্মণবাড়িয়া,negative,2,0.3538489023006157,0.3333333333333333
post_election_upto_forming_government,ব্রাহ্মণবাড়িয়া,neutral,2,0.3514972490171387,0.3333333333333333
post_election_upto_forming_government,ব্রাহ্মণবাড়িয়া,sarcastic_negative,2,0.4523350590168569,0.3333333333333333
post_election_upto_forming_government,ভোলা,negative,1,0.47740501370559196,0.14285714285714285
post_election_upto_forming_government,ভোলা,neutral,1,0.936638240937475,0.14285714285714285
post_election_upto_forming_government,ভোলা,positive,1,0.33628628024039786,0.14285714285714285
post_election_upto_forming_government,ভোলা,sarcastic_negative,4,0.4705150439520157,0.5714285714285714
post_election_upto_forming_government,ময়মনসিংহ,negative,4,0.419079939661293,0.36363636363636365
post_election_upto_forming_government,ময়মনসিংহ,neutral,1,0.9493879242371537,0.09090909090909091
post_election_upto_forming_government,ময়মনসিংহ,positive,2,0.5457887101951503,0.18181818181818182
post_election_upto_forming_government,ময়মনসিংহ,sarcastic_negative,4,0.42234269475342595,0.36363636363636365
post_election_upto_forming_government,মাগুরা,neutral,1,0.45306109941762446,1.0
post_election_upto_forming_government,মানিকগঞ্জ,negative,1,0.5509445309613177,0.5
post_election_upto_forming_government,মানিকগঞ্জ,positive,1,0.49885134755712024,0.5
post_election_upto_forming_government,মুন্সিগঞ্জ,sarcastic_negative,1,0.4102196920550505,1.0
post_election_upto_forming_government,মেহেরপুর,sarcastic_negative,2,0.398819752757838,1.0
post_election_upto_forming_government,মৌলভীবাজার,negative,1,0.36490232346585,0.2
post_election_upto_forming_government,মৌলভীবাজার,neutral,1,0.4622158027205778,0.2
post_election_upto_forming_government,মৌলভীবাজার,positive,1,0.4466810482054989,0.2
post_election_upto_forming_government,মৌলভীবাজার,sarcastic_negative,2,0.560605797130382,0.4
post_election_upto_forming_government,যশোর,negative,1,0.6357727451662334,0.25
