dataset,term,count,relative_freq,others_avg_relative_freq,distinctiveness_score
After Forming Government Data With Location,খারাপ,10,0.0010995052226498076,0.0003492647249472877,0.0007502404977025199
After Forming Government Data With Location,প্রধানমন্ত্রী,13,0.00142935678944475,0.0006811159960049657,0.0007482407934397842
After Forming Government Data With Location,বঙ্গবন্ধু,7,0.0007696536558548653,2.849002849002849e-05,0.0007411636273648368
After Forming Government Data With Location,সারজিস,7,0.0007696536558548653,2.849002849002849e-05,0.0007411636273648368
After Forming Government Data With Location,দলের,20,0.0021990104452996153,0.001461423339836154,0.0007375871054634614
After Forming Government Data With Location,ঘাটের,8,0.0008796041781198461,0.00014245014245014244,0.0007371540356697037
After Forming Government Data With Location,গু,9,0.0009895547003848269,0.00026379463947720223,0.0007257600609076246
After Forming Government Data With Location,হয়ে,33,0.003628367234744365,0.002908077913538416,0.0007202893212059488
After Forming Government Data With Location,স্বাভাবিক,8,0.0008796041781198461,0.00017463236247364385,0.0007049718156462023
After Forming Government Data With Location,right,9,0.0009895547003848269,0.0002849002849002849,0.000704654415484542
After Forming Government Data With Location,চমৎকার,9,0.0009895547003848269,0.00028859247643375785,0.000700962223951069
After Forming Government Data With Location,ভিত্তিতে,10,0.0010995052226498076,0.0003988603988603989,0.0007006448237894087
After Forming Government Data With Location,বেটা,10,0.0010995052226498076,0.0004062447819273447,0.0006932604407224629
After Forming Government Data With Location,খুলে,10,0.0010995052226498076,0.0004062447819273447,0.0006932604407224629
After Forming Government Data With Location,মন,11,0.0012094557449147884,0.0005238970874209316,0.0006855586574938568
After Forming Government Data With Location,আন্দোলনের,7,0.0007696536558548653,8.547008547008547e-05,0.0006841835703847799
After Forming Government Data With Location,কুকুর,7,0.0007696536558548653,8.91622770035584e-05,0.000680491378851307
After Forming Government Data With Location,রাস্তার,8,0.0008796041781198461,0.00020312239096367235,0.0006764817871561737
After Forming Government Data With Location,তাইলে,9,0.0009895547003848269,0.0003170825049237863,0.0006724721954610405
After Forming Government Data With Location,সুযোগ,12,0.0013194062671797692,0.0006489337759814644,0.0006704724911983048
After Forming Government Data With Location,বিষয়,10,0.0010995052226498076,0.0004347348104173732,0.0006647704122324345
After Forming Government Data With Location,সার্ভিস,6,0.0006597031335898846,0.0,0.0006597031335898846
After Forming Government Data With Location,khan,6,0.0006597031335898846,0.0,0.0006597031335898846
After Forming Government Data With Location,কর,10,0.0010995052226498076,0.0004421191934843191,0.0006573860291654885
After Forming Government Data With Location,ঘাটে,7,0.0007696536558548653,0.00011765230549358688,0.0006520013503612784
After Forming Government Data With Location,সেটাই,7,0.0007696536558548653,0.00011765230549358688,0.0006520013503612784
After Forming Government Data With Location,মাস,8,0.0008796041781198461,0.0002279202279202279,0.0006516839501996182
After Forming Government Data With Location,সংস্কার,8,0.0008796041781198461,0.0002279202279202279,0.0006516839501996182
After Forming Government Data With Location,দে,9,0.0009895547003848269,0.00035295691648076067,0.0006365977839040663
After Forming Government Data With Location,পারলে,6,0.0006597031335898846,2.849002849002849e-05,0.000631213105099856
After Forming Government Data With Location,আমাকেও,6,0.0006597031335898846,2.849002849002849e-05,0.000631213105099856
After Forming Government Data With Location,ভাতিজা,6,0.0006597031335898846,2.849002849002849e-05,0.000631213105099856
After Forming Government Data With Location,দৌড়া,6,0.0006597031335898846,2.849002849002849e-05,0.000631213105099856
After Forming Government Data With Location,জালা,6,0.0006597031335898846,2.849002849002849e-05,0.000631213105099856
After Forming Government Data With Location,তোদের,7,0.0007696536558548653,0.00014245014245014244,0.0006272035134047229
After Forming Government Data With Location,সানগ্লাস,7,0.0007696536558548653,0.00014245014245014244,0.0006272035134047229
After Forming Government Data With Location,সুন্দর,14,0.0015393073117097307,0.0009127284154586666,0.0006265788962510641
After Forming Government Data With Location,একদম,8,0.0008796041781198461,0.0002601024479437293,0.0006195017301761168
After Forming Government Data With Location,thik,8,0.0008796041781198461,0.0002601024479437293,0.0006195017301761168
After Forming Government Data With Location,কোন,44,0.004837822979659154,0.004219666727857481,0.0006181562518016723
After Forming Government Data With Location,চেয়ে,8,0.0008796041781198461,0.0002674868310106752,0.000612117347109171
After Forming Government Data With Location,এতো,15,0.0016492578339747114,0.0010404097917749173,0.0006088480421997942
After Forming Government Data With Location,এজেন্ট,8,0.0008796041781198461,0.0002711790225441481,0.000608425155575698
After Forming Government Data With Location,md,10,0.0010995052226498076,0.0004917148673974302,0.0006077903552523774
After Forming Government Data With Location,মিলে,9,0.0009895547003848269,0.00038513913650426205,0.0006044155638805648
After Forming Government Data With Location,ইফতার,6,0.0006597031335898846,5.698005698005698e-05,0.0006027230766098276
After Forming Government Data With Location,খাইস,6,0.0006597031335898846,5.698005698005698e-05,0.0006027230766098276
After Forming Government Data With Location,মার,6,0.0006597031335898846,5.698005698005698e-05,0.0006027230766098276
After Forming Government Data With Location,শান্তি,7,0.0007696536558548653,0.00017094017094017094,0.0005987134849146944
After Forming Government Data With Location,শুরু,17,0.001869158878504673,0.0012720222112286182,0.0005971366672760548
After Forming Government Data With Location,বাদ,11,0.0012094557449147884,0.0006130593644244899,0.0005963963804902985
After Forming Government Data With Location,হলে,18,0.0019791094007696537,0.0014044432828560968,0.0005746661179135569
After Forming Government Data With Location,পুরা,6,0.0006597031335898846,8.547008547008547e-05,0.0005742330481197991
After Forming Government Data With Location,tader,6,0.0006597031335898846,8.547008547008547e-05,0.0005742330481197991
After Forming Government Data With Location,সাবাস,7,0.0007696536558548653,0.00019943019943019944,0.0005702234564246659
After Forming Government Data With Location,খাই,7,0.0007696536558548653,0.00019943019943019944,0.0005702234564246659
After Forming Government Data With Location,ওকে,12,0.0013194062671797692,0.0007592016984081054,0.0005602045687716638
After Forming Government Data With Location,দৌড়াচ্ছে,5,0.0005497526113249038,0.0,0.0005497526113249038
After Forming Government Data With Location,কষ্টের,5,0.0005497526113249038,0.0,0.0005497526113249038
After Forming Government Data With Location,দৌড়ানোর,5,0.0005497526113249038,0.0,0.0005497526113249038
After Forming Government Data With Location,আদু,5,0.0005497526113249038,0.0,0.0005497526113249038
After Forming Government Data With Location,দৌড়াদৌড়ি,5,0.0005497526113249038,0.0,0.0005497526113249038
After Forming Government Data With Location,তোমরা,9,0.0009895547003848269,0.0004421191934843191,0.0005474355069005078
After Forming Government Data With Location,হুম,6,0.0006597031335898846,0.00011396011396011396,0.0005457430196297706
After Forming Government Data With Location,কেনো,10,0.0010995052226498076,0.0005560793074444331,0.0005434259152053745
After Forming Government Data With Location,লাগবে,10,0.0010995052226498076,0.000559771498977906,0.0005397337236719016
After Forming Government Data With Location,কিনে,6,0.0006597031335898846,0.00012134449702705982,0.0005383586365628248
After Forming Government Data With Location,বলছে,9,0.0009895547003848269,0.0004669170304408746,0.0005226376699439523
After Forming Government Data With Location,লুঙ্গির,5,0.0005497526113249038,2.849002849002849e-05,0.0005212625828348753
After Forming Government Data With Location,kha,6,0.0006597031335898846,0.00014245014245014244,0.0005172529911397422
After Forming Government Data With Location,বস,6,0.0006597031335898846,0.00014245014245014244,0.0005172529911397422
After Forming Government Data With Location,কর্ম,6,0.0006597031335898846,0.00014245014245014244,0.0005172529911397422
After Forming Government Data With Location,দেশটা,6,0.0006597031335898846,0.00014245014245014244,0.0005172529911397422
After Forming Government Data With Location,খেলে,6,0.0006597031335898846,0.00014245014245014244,0.0005172529911397422
After Forming Government Data With Location,বলেছে,10,0.0010995052226498076,0.0005845693359344615,0.0005149358867153461
